# Run started: 2026-03-11 11:59:53.020714
# 
# STD_NS	NF_NS	TRAIN	GENER
9.497728999999999644e+00 0.000000000000000000e+00 1.024311576999999943e+03 3.199838999999999878e+00
9.121828999999999965e+00 2.444506499999999960e+01 2.573328940000000102e+02 1.588128900000000066e+01
9.126098000000000710e+00 2.447295499999999890e+01 2.747761439999999880e+02 6.557170399999999688e+01
9.102838000000000207e+00 2.442163800000000151e+01 2.743127010000000041e+02 2.159809889999999939e+02
9.107219999999999871e+00 2.447398899999999955e+01 2.744352329999999824e+02 4.120380769999999870e+02
9.099050000000000082e+00 2.454002399999999895e+01 1.043339144999999917e+03 3.091809339999999793e+02
9.090248000000000772e+00 2.513612300000000133e+01 2.733551580000000172e+02 3.587630980000000136e+02
9.105864999999999654e+00 2.439603899999999825e+01 2.734349540000000047e+02 4.804995349999999803e+02
9.113075999999999510e+00 2.437318099999999887e+01 2.734019289999999955e+02 6.246395609999999579e+02
9.118000000000000327e+00 2.459280000000000044e+01 2.736583099999999718e+02 7.239243669999999611e+02
9.089591999999999672e+00 2.442547199999999918e+01 1.036017965000000004e+03 5.302706120000000283e+02
9.134164999999999424e+00 2.448946300000000065e+01 2.729176590000000147e+02 6.021931389999999737e+02
9.071996999999999645e+00 2.457028499999999838e+01 2.729763530000000173e+02 8.233176799999999957e+02
9.108710000000000306e+00 2.461798299999999884e+01 2.734879599999999868e+02 7.282374300000000176e+02
9.081742000000000203e+00 2.467608399999999946e+01 2.735742859999999723e+02 7.663235590000000457e+02
9.003975999999999758e+00 2.438963999999999999e+01 1.031835947000000033e+03 6.748998299999999517e+02
9.072124999999999773e+00 2.469006800000000013e+01 2.716246449999999868e+02 6.051528939999999466e+02
9.091459000000000401e+00 2.471097599999999872e+01 2.714403869999999870e+02 5.378817139999999881e+02
9.040661999999999310e+00 2.444390399999999985e+01 2.679523500000000240e+02 4.725865620000000149e+02
9.030072999999999794e+00 2.437731000000000137e+01 2.724337300000000255e+02 5.318410939999999982e+02
9.094155999999999906e+00 2.434959599999999824e+01 1.030851850999999897e+03 4.927409569999999803e+02
9.066451000000000704e+00 2.469369500000000173e+01 2.722501340000000027e+02 3.615661150000000248e+02
9.074574999999999392e+00 2.438974299999999928e+01 2.730737199999999802e+02 3.879906470000000240e+02
9.040758999999999546e+00 2.442210100000000139e+01 2.730129870000000096e+02 3.393140999999999963e+02
8.994476999999999833e+00 2.445630399999999938e+01 2.727940350000000080e+02 2.685800530000000208e+02
9.050912000000000290e+00 2.440037600000000140e+01 1.034533091000000013e+03 3.383881480000000010e+02
9.087325999999999127e+00 2.458846700000000141e+01 2.728601150000000075e+02 2.855344269999999938e+02
9.031729999999999592e+00 2.445047399999999982e+01 2.738690159999999878e+02 2.664146230000000060e+02
9.066309000000000395e+00 2.466116200000000092e+01 2.736962470000000280e+02 2.951205870000000004e+02
9.042982000000000298e+00 2.454359699999999833e+01 2.727541780000000244e+02 2.210643839999999898e+02
9.000875999999999877e+00 2.584946899999999914e+01 1.035932330000000093e+03 3.266947089999999889e+02
9.055009000000000086e+00 2.463110199999999850e+01 2.737728440000000205e+02 3.288948990000000094e+02
9.039192999999999145e+00 2.443282699999999963e+01 2.730125390000000039e+02 3.098704490000000078e+02
8.890729000000000326e+00 2.449529899999999927e+01 2.693225310000000263e+02 3.994789069999999924e+02
9.017639000000000848e+00 2.473115400000000008e+01 2.738422509999999761e+02 3.298582789999999818e+02
8.910714999999999719e+00 2.457672700000000177e+01 1.018504477999999949e+03 2.527887990000000116e+02
8.889818999999999249e+00 2.511539000000000144e+01 2.692374970000000189e+02 2.125351420000000076e+02
8.927286000000000499e+00 2.450279899999999955e+01 2.676193309999999883e+02 2.220926269999999931e+02
8.911082999999999643e+00 2.439234300000000033e+01 2.674108420000000024e+02 3.134309030000000007e+02
9.011383999999999617e+00 2.476103700000000174e+01 2.728877469999999903e+02 2.971312649999999849e+02
8.928153000000000006e+00 2.457750400000000113e+01 1.017911287000000016e+03 4.864437060000000201e+02
8.898917000000000854e+00 2.442733899999999991e+01 2.686174449999999752e+02 4.420572470000000180e+02
8.942705000000000126e+00 2.452709000000000117e+01 2.681590009999999893e+02 5.089849770000000149e+02
9.022012999999999394e+00 2.480769000000000091e+01 2.722995549999999980e+02 4.525468989999999962e+02
8.924051000000000400e+00 2.467466599999999843e+01 2.673879459999999995e+02 7.020002309999999852e+02
# Run ended: 2026-03-11 22:51:44.313892
# Elapsed time: 10:51:51.293178
