# Run started: 2026-03-12 17:52:14.599114
# 
# STD_NS	NF_NS	TRAIN	GENER
9.269895999999999248e+00 0.000000000000000000e+00 4.725205340000000433e+03 1.634566600000000136e+01
9.025019000000000347e+00 1.695001919999999984e+02 1.189880220999999892e+03 3.963174730000000068e+02
8.979666999999999177e+00 1.702420500000000061e+02 1.188009305999999924e+03 1.233366670000000113e+03
9.015181999999999363e+00 1.693479089999999871e+02 1.189584712999999965e+03 2.234765598999999838e+03
9.026455999999999591e+00 1.696520580000000109e+02 1.188464202999999998e+03 3.845286324000000150e+03
8.987508999999999304e+00 1.701233799999999974e+02 4.716476778999999624e+03 1.433487108000000035e+03
9.013662000000000063e+00 1.694018780000000106e+02 1.187752983000000086e+03 1.478270594999999958e+03
9.077697000000000571e+00 1.696785450000000139e+02 1.189133295999999973e+03 1.647541611000000103e+03
8.967695000000000860e+00 1.689234800000000121e+02 1.188748460999999907e+03 1.467972181999999975e+03
9.082604999999999151e+00 1.697713349999999934e+02 1.191080324000000019e+03 1.116180869000000030e+03
8.984370999999999441e+00 1.694855680000000007e+02 4.718076707000000170e+03 9.351995339999999715e+02
9.004713999999999885e+00 1.693837859999999864e+02 1.188486398999999892e+03 8.250626859999999851e+02
9.055123999999999285e+00 1.695699869999999976e+02 1.189303797000000031e+03 6.364051249999999982e+02
8.972835999999999146e+00 1.694956659999999999e+02 1.188932643999999982e+03 6.396536200000000463e+02
8.987068000000000723e+00 1.698239409999999907e+02 1.137401618999999982e+03 5.485559359999999742e+02
8.899036999999999864e+00 1.621830219999999940e+02 4.478260412999999971e+03 5.911638920000000326e+02
8.868045999999999651e+00 1.606728999999999985e+02 1.124819966000000022e+03 5.757604069999999865e+02
8.986461000000000254e+00 1.637237880000000132e+02 1.155072165999999925e+03 6.097115870000000086e+02
9.027656999999999599e+00 1.650798499999999933e+02 1.154822985999999901e+03 4.979957309999999779e+02
9.063836999999999477e+00 1.651049639999999954e+02 1.149635989999999993e+03 5.106580099999999902e+02
9.002212999999999354e+00 1.657161519999999939e+02 4.558931349000000409e+03 9.050226940000000013e+02
# Run ended: 2026-03-13 12:42:00.538135
# Elapsed time: 18:49:45.939021
