# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-14.012275695800781	0.0	0.0	38.36320495605469	-14.028144836425781	429.2022705078125	414.80145263671875	0.019669082015752792	9.757729755661011e-05
2	54	-14.422744750976562	0.0	0.0	25.277679443359375	-14.330148696899414	413.23431396484375	398.72332763671875	0.018236327916383743	9.05463412215599e-05
3	81	-14.281466484069824	0.0	0.0	41.165199279785156	-14.368261337280273	402.6204833984375	387.9833984375	0.02634638547897339	7.959536998847742e-05
4	108	-14.369722366333008	0.0	0.0	36.7581787109375	-14.448827743530273	396.9908447265625	382.53485107421875	0.033755045384168625	6.57963412215599e-05
5	135	-14.490489959716797	0.0	0.0	32.490962982177734	-14.54935073852539	390.6575927734375	375.8776550292969	0.03567884489893913	5.05e-05
6	162	-14.792367935180664	0.0	0.0	37.043277740478516	-14.65180778503418	373.134765625	358.20623779296875	0.015824908390641212	3.5203658778440106e-05
7	189	-14.729753494262695	0.0	0.0	56.525245666503906	-14.756132125854492	372.35601806640625	357.517822265625	0.029966121539473534	2.1404630011522586e-05
8	216	-14.88086986541748	0.0	0.0	27.69430923461914	-14.830962181091309	361.263427734375	346.21502685546875	0.044376440346241	1.0453658778440107e-05
9	243	-14.872014999389648	0.0	0.0	22.802814483642578	-14.896159172058105	358.03900146484375	342.9214782714844	0.023735713213682175	3.4227024433899e-06
10	270	-14.865580558776855	0.0	0.0	46.79765319824219	-14.9262113571167	358.7978210449219	343.72381591796875	0.03814209997653961	1e-06
# Best epoch: 8
