# Run started: 2026-03-12 17:46:04.463838
# 
# STD_NS	NF_NS	TRAIN	GENER
9.015142000000000877e+00 0.000000000000000000e+00 4.408392068000000108e+03 3.253624999999999989e+00
8.849634000000000000e+00 2.394866700000000037e+01 1.115206093999999894e+03 2.211224699999999999e+01
8.817164000000000001e+00 2.408317600000000169e+01 1.113652986999999939e+03 6.210878100000000046e+01
8.869994999999999408e+00 2.397656999999999883e+01 1.113278823000000102e+03 1.347913379999999961e+02
8.761841000000000435e+00 2.410309099999999916e+01 1.115132096000000047e+03 2.158321180000000084e+02
8.816781000000000645e+00 2.420936599999999927e+01 4.421424205000000256e+03 1.337074110000000076e+02
8.837688999999999240e+00 2.393389300000000119e+01 1.111852084000000104e+03 2.023140060000000062e+02
8.857780999999999239e+00 2.405834400000000173e+01 1.120203023000000030e+03 2.222557539999999960e+02
8.814676000000000400e+00 2.405838800000000077e+01 1.113166971000000103e+03 2.624923249999999939e+02
8.856213000000000335e+00 2.420398300000000091e+01 1.118069639999999936e+03 3.555773249999999734e+02
8.840671000000000390e+00 2.404434600000000088e+01 4.441701103000000330e+03 2.627801969999999869e+02
8.879675999999999902e+00 2.448621999999999943e+01 1.118684146000000055e+03 2.921696739999999863e+02
8.814104000000000383e+00 2.446304999999999907e+01 1.101288254999999936e+03 2.932994380000000092e+02
8.791816999999999993e+00 2.398733899999999863e+01 1.094900307000000112e+03 3.637973230000000058e+02
8.796072000000000557e+00 2.401237499999999869e+01 1.095838034999999991e+03 3.465402060000000120e+02
8.814927000000000845e+00 2.398785000000000167e+01 4.435072572000000036e+03 3.289960370000000012e+02
8.972872999999999877e+00 2.426204200000000100e+01 1.131062654000000066e+03 2.999017230000000040e+02
8.911806000000000338e+00 2.416522300000000101e+01 1.132321660000000065e+03 2.242729630000000043e+02
8.862230000000000274e+00 2.434141500000000136e+01 1.137882567000000108e+03 2.062418979999999920e+02
8.967473999999999279e+00 2.423779700000000048e+01 1.139648603000000094e+03 2.625734550000000240e+02
8.960442999999999714e+00 2.423704400000000092e+01 4.472864978999999948e+03 1.909920309999999972e+02
8.827609000000000705e+00 2.410796500000000009e+01 1.103808056000000079e+03 1.607519959999999912e+02
8.764613000000000653e+00 2.430532200000000032e+01 1.092928488999999900e+03 1.408704520000000002e+02
8.765696999999999406e+00 2.421898600000000101e+01 1.094007912000000033e+03 1.377108550000000093e+02
8.746947000000000472e+00 2.412069500000000133e+01 1.106312826999999970e+03 1.632184010000000001e+02
8.778105999999999298e+00 2.403608600000000095e+01 4.359184941000000435e+03 1.472885239999999953e+02
8.811712999999999241e+00 2.423371799999999965e+01 1.096734114000000091e+03 1.208605299999999971e+02
8.807285000000000252e+00 2.394920099999999863e+01 1.102967006999999967e+03 1.243551360000000017e+02
8.819675999999999405e+00 2.406766400000000061e+01 1.106908619000000044e+03 1.157138700000000000e+02
8.825853999999999644e+00 2.403654200000000074e+01 1.106035920000000033e+03 1.126106649999999973e+02
8.844836000000000809e+00 2.450971399999999889e+01 4.421218272000000070e+03 1.136388299999999987e+02
8.895307000000000741e+00 2.444311199999999928e+01 1.110688417000000072e+03 1.441859450000000038e+02
8.950215999999999283e+00 2.422901200000000088e+01 1.118025822999999946e+03 1.096702810000000028e+02
8.933030999999999722e+00 2.426126400000000061e+01 1.121027669999999944e+03 1.095418489999999991e+02
8.936208999999999847e+00 2.450270099999999829e+01 1.119047565000000077e+03 9.165381200000000206e+01
8.894318000000000168e+00 2.431452399999999869e+01 4.398343052999999600e+03 1.988496570000000077e+02
8.973955999999999378e+00 2.408850100000000083e+01 1.120071789000000081e+03 1.874861589999999865e+02
8.789756999999999820e+00 2.412932999999999950e+01 1.120940452999999934e+03 1.707028689999999926e+02
8.977185999999999666e+00 2.922963400000000078e+01 1.127418983999999909e+03 1.796649109999999894e+02
8.962918000000000163e+00 2.450074700000000050e+01 1.124957760000000007e+03 1.675073219999999878e+02
8.818208999999999520e+00 2.404280299999999926e+01 4.479024838000000273e+03 1.517239759999999933e+02
8.859526000000000678e+00 2.462058100000000138e+01 1.124755891000000020e+03 1.412527220000000057e+02
8.942543000000000575e+00 2.495331200000000038e+01 1.129743359000000055e+03 1.594567419999999913e+02
8.884394000000000347e+00 2.410939199999999971e+01 1.116922773999999890e+03 2.104485359999999901e+02
8.799497000000000568e+00 2.415736300000000014e+01 1.107754656999999952e+03 1.442067399999999964e+02
# Run ended: 2026-03-13 18:40:18.639721
# Elapsed time: 1 day, 0:54:14.175883
