# Run started: 2026-03-12 17:47:46.298448
# 
# STD_NS	NF_NS	TRAIN	GENER
9.546865999999999630e+00 0.000000000000000000e+00 4.884367435000000114e+03 1.642517899999999997e+01
9.361598000000000752e+00 1.803029400000000066e+02 4.913433528999999908e+03 2.731796620000000075e+02
9.374527000000000498e+00 1.795807990000000132e+02 4.878248258999999962e+03 6.281343239999999923e+02
9.412895000000000678e+00 1.797940069999999935e+02 4.886615786999999727e+03 1.307792259000000058e+03
9.317911000000000499e+00 1.801141389999999944e+02 4.829136411999999837e+03 1.232480135000000018e+03
9.397980000000000445e+00 1.803857470000000092e+02 4.821506768999999622e+03 1.446621617999999899e+03
9.400346000000000757e+00 1.807156830000000127e+02 4.833485550000000330e+03 1.182756094000000076e+03
9.401706000000000785e+00 1.801513170000000059e+02 4.827894384999999602e+03 1.133904553000000078e+03
9.373839000000000254e+00 1.804563609999999869e+02 4.825691031999999723e+03 1.314879795000000058e+03
9.438758999999999233e+00 1.797425580000000025e+02 4.846444629999999961e+03 1.300847459999999955e+03
9.414196000000000453e+00 1.799464440000000138e+02 4.957839817000000039e+03 6.385536180000000286e+02
9.258518000000000470e+00 1.694647239999999897e+02 4.649928831000000173e+03 5.729816210000000183e+02
9.211641000000000190e+00 1.676567039999999906e+02 4.676810247999999774e+03 5.582698169999999891e+02
9.150073000000000789e+00 1.695297989999999970e+02 4.478548768999999993e+03 4.322853479999999990e+02
8.832008000000000081e+00 1.631240970000000061e+02 4.401235007999999652e+03 3.232309089999999969e+02
8.864255999999999247e+00 1.627468810000000019e+02 4.415762620000000425e+03 3.307580970000000207e+02
8.867483000000000004e+00 1.636131230000000016e+02 4.431579093999999714e+03 3.539043510000000197e+02
8.871131000000000100e+00 1.630581050000000118e+02 4.416633423999999650e+03 2.959396669999999858e+02
8.890910999999999120e+00 1.636523990000000026e+02 4.417431464000000233e+03 3.075870959999999741e+02
8.838378000000000512e+00 1.630731940000000009e+02 4.418664482000000135e+03 2.801927929999999947e+02
8.874048999999999410e+00 1.655932630000000074e+02 4.419406786999999895e+03 2.737937259999999924e+02
# Run ended: 2026-03-14 02:04:07.344484
# Elapsed time: 1 day, 8:16:21.046036
