# Run started: 2026-05-23 18:26:51.538360
# 
# STD_NS	NF_NS	TRAIN	GENER
9.141994999999999649e+00 0.000000000000000000e+00 2.547721490000000131e+02 3.185462999999999933e+00
8.837281000000000830e+00 2.408055099999999982e+01 2.536475560000000087e+02 1.798750199999999921e+01
8.837687000000000737e+00 2.423130300000000048e+01 2.702332509999999957e+02 6.244584100000000149e+01
8.818751000000000673e+00 2.430328099999999836e+01 2.695222769999999741e+02 1.564629750000000001e+02
8.815250999999999948e+00 2.409431999999999974e+01 2.694440500000000043e+02 2.746871150000000057e+02
8.825628999999999280e+00 2.438559300000000007e+01 2.686952210000000036e+02 3.900490179999999896e+02
8.796103999999999701e+00 2.433516399999999891e+01 2.672539790000000153e+02 6.194790679999999838e+02
8.816039999999999210e+00 2.415026999999999902e+01 2.665119740000000093e+02 8.481367500000000064e+02
8.843899999999999650e+00 2.420667399999999958e+01 2.688500599999999849e+02 8.209275930000000017e+02
9.016645999999999717e+00 2.437337700000000140e+01 2.713223909999999819e+02 8.167555300000000216e+02
8.848128000000000881e+00 2.420054299999999969e+01 2.697151569999999765e+02 8.631712469999999939e+02
8.844730999999999455e+00 2.406247300000000067e+01 2.678949539999999843e+02 8.051318049999999857e+02
8.809037000000000006e+00 2.406175700000000006e+01 2.656476860000000215e+02 1.186679135999999971e+03
8.833752000000000493e+00 2.439317000000000135e+01 2.665233549999999809e+02 7.860136639999999488e+02
8.827227999999999852e+00 2.412232900000000058e+01 2.653307819999999992e+02 7.929476859999999760e+02
8.828125999999999252e+00 2.423388100000000023e+01 2.652895169999999894e+02 6.651141470000000027e+02
8.892089000000000354e+00 2.429864900000000105e+01 2.656438479999999913e+02 6.508973379999999906e+02
8.819684999999999775e+00 2.427519399999999905e+01 2.660421999999999798e+02 5.562415829999999914e+02
8.824101999999999890e+00 2.407694000000000045e+01 2.657692499999999995e+02 5.097549799999999891e+02
8.812891999999999726e+00 2.415831800000000129e+01 2.659094230000000039e+02 4.012665820000000281e+02
8.833636000000000266e+00 2.451332999999999984e+01 2.661033729999999764e+02 4.065909340000000043e+02
8.804346000000000672e+00 2.429674599999999884e+01 2.659694150000000263e+02 2.892566069999999741e+02
8.848242000000000829e+00 2.426143700000000081e+01 2.650674999999999955e+02 2.736239820000000122e+02
8.820916000000000423e+00 2.434292900000000159e+01 2.658675690000000031e+02 2.608400340000000028e+02
8.816803000000000168e+00 2.422277499999999861e+01 2.658698729999999841e+02 2.027409020000000055e+02
8.875379999999999825e+00 2.450185899999999961e+01 2.665519639999999981e+02 2.049585899999999867e+02
8.806981000000000392e+00 2.424552999999999869e+01 2.662643519999999739e+02 1.457948959999999943e+02
8.831849999999999312e+00 2.427430400000000077e+01 2.650414660000000140e+02 1.478414940000000115e+02
8.818778000000000006e+00 2.425772200000000112e+01 2.658159069999999815e+02 1.426771469999999908e+02
8.849902999999999409e+00 2.431085799999999963e+01 2.687059520000000248e+02 1.911675390000000050e+02
8.840246000000000492e+00 2.422038799999999981e+01 2.664716070000000059e+02 1.530892809999999997e+02
8.821839000000000652e+00 2.434212000000000131e+01 2.660376780000000281e+02 1.584744809999999973e+02
8.845743999999999829e+00 2.430704100000000167e+01 2.667168040000000246e+02 1.108796679999999952e+02
8.817420999999999509e+00 2.414553400000000138e+01 2.677726710000000026e+02 1.013742249999999956e+02
8.831447999999999965e+00 2.471974300000000113e+01 2.662742269999999962e+02 1.288323729999999898e+02
8.844174999999999898e+00 2.417566400000000115e+01 2.663696919999999864e+02 9.397899800000000425e+01
8.801396000000000441e+00 2.429878199999999921e+01 2.665449449999999842e+02 9.502623900000000390e+01
8.803893000000000413e+00 2.422356600000000171e+01 2.662650540000000206e+02 1.183032790000000034e+02
8.787675999999999377e+00 2.429492099999999866e+01 2.662159550000000081e+02 9.715731300000000203e+01
8.851088999999999984e+00 2.426282199999999989e+01 2.669799899999999866e+02 1.025828159999999940e+02
8.837127999999999872e+00 2.415457800000000077e+01 2.675381179999999972e+02 1.457790390000000116e+02
8.784679999999999822e+00 2.428559600000000174e+01 2.659865659999999821e+02 9.718211599999999351e+01
8.781472000000000833e+00 2.421957899999999952e+01 2.656865470000000187e+02 9.399809500000000639e+01
8.864976999999999663e+00 2.427804499999999877e+01 2.665531419999999798e+02 7.922663699999999665e+01
8.848390999999999451e+00 2.414279799999999909e+01 2.668069899999999848e+02 8.029316000000000031e+01
# Run ended: 2026-05-24 02:23:50.089938
# Elapsed time: 7:56:58.551578
