# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-17.976966857910156	0.0	0.0	59.262271881103516	-17.80160903930664	185.15435791015625	169.58990478515625	0.004562585614621639	9.757729755661011e-05
2	54	-18.281797409057617	0.0	0.0	97.10286712646484	-18.18677520751953	155.38307189941406	139.0966033935547	0.008019325323402882	9.05463412215599e-05
3	81	-18.32703971862793	0.0	0.0	60.92290115356445	-18.26392936706543	154.52740478515625	138.3270263671875	0.01073453575372696	7.959536998847742e-05
4	108	-18.34562873840332	0.0	0.0	62.706600189208984	-18.4821834564209	156.83724975585938	140.22018432617188	0.014003179036080837	6.57963412215599e-05
5	135	-18.53976058959961	0.0	0.0	74.35934448242188	-18.53940773010254	147.74510192871094	131.13262939453125	0.0149797722697258	5.05e-05
6	162	-18.880374908447266	0.0	0.0	49.36365509033203	-18.761262893676758	149.35574340820312	132.54800415039062	0.01623702608048916	3.5203658778440106e-05
7	189	-18.898883819580078	0.0	0.0	51.37532424926758	-18.934680938720703	133.67323303222656	116.71483612060547	0.01642891764640808	2.1404630011522586e-05
8	216	-19.138568878173828	0.0	0.0	45.16487121582031	-19.041114807128906	127.83296966552734	110.675048828125	0.022960402071475983	1.0453658778440107e-05
9	243	-19.231491088867188	0.0	0.0	99.64462280273438	-19.12209129333496	128.52703857421875	111.28086853027344	0.021121859550476074	3.4227024433899e-06
10	270	-19.103683471679688	0.0	0.0	45.778594970703125	-19.165626525878906	122.5184555053711	105.24816131591797	0.021062452346086502	1e-06
# Best epoch: 8
