# Run started: 2026-06-24 17:35:52.592960
# 
# STD_NS	NF_NS	TRAIN	GENER
9.440134999999999721e+00 0.000000000000000000e+00 2.478930679999999995e+02 3.425319000000000003e+00
9.032441999999999638e+00 2.409428700000000134e+01 2.447514620000000036e+02 1.708380500000000168e+01
9.075143999999999878e+00 2.422361499999999879e+01 2.616827339999999822e+02 6.711313699999999471e+01
9.079409000000000063e+00 2.425724900000000162e+01 2.606558790000000272e+02 1.718324090000000126e+02
9.063803000000000054e+00 2.417746299999999948e+01 2.614934119999999780e+02 3.300277179999999930e+02
9.056815999999999534e+00 2.436421199999999843e+01 2.619621829999999818e+02 4.722388599999999883e+02
9.058877000000000734e+00 2.434446700000000163e+01 2.605348599999999806e+02 6.725242680000000064e+02
9.058932999999999680e+00 2.441951500000000053e+01 2.607713660000000004e+02 9.197146229999999605e+02
9.087647000000000475e+00 2.443656599999999912e+01 2.610926410000000146e+02 1.060052889999999934e+03
9.037909000000000859e+00 2.430339400000000083e+01 2.610467849999999999e+02 1.121080686000000014e+03
9.007217999999999947e+00 2.417842699999999923e+01 2.608997489999999857e+02 1.305274139999999989e+03
9.132054000000000116e+00 2.470447100000000162e+01 2.605125909999999863e+02 1.590226286999999957e+03
8.980271000000000114e+00 2.434305600000000069e+01 2.548057410000000118e+02 1.396874923000000081e+03
8.885381000000000640e+00 2.411583299999999852e+01 2.521424580000000049e+02 1.474713396999999986e+03
8.942232000000000625e+00 2.467066200000000009e+01 2.562306600000000003e+02 1.379985128999999915e+03
8.863400999999999641e+00 2.422918299999999903e+01 2.533064760000000035e+02 1.386881992000000082e+03
8.881368000000000151e+00 2.446883400000000108e+01 2.532185699999999997e+02 1.238508800999999949e+03
9.012923999999999936e+00 2.442951899999999910e+01 2.605817230000000109e+02 1.021036539999999945e+03
8.948040999999999912e+00 2.440420299999999898e+01 2.531553930000000037e+02 1.179384763999999905e+03
8.871928999999999732e+00 2.433920300000000125e+01 2.535924730000000125e+02 7.791729550000000017e+02
8.852828999999999837e+00 2.422139200000000159e+01 2.533269840000000102e+02 6.659446619999999939e+02
8.966844999999999288e+00 2.466478800000000149e+01 2.520831110000000024e+02 9.240813450000000557e+02
8.866915000000000546e+00 2.476605100000000093e+01 2.528343729999999994e+02 7.097532420000000002e+02
8.908053999999999917e+00 2.470560100000000148e+01 2.535592409999999859e+02 5.378660680000000411e+02
9.101919999999999789e+00 2.437250099999999975e+01 2.560980559999999855e+02 4.648822509999999966e+02
8.940927999999999543e+00 2.471166600000000102e+01 2.540331470000000138e+02 3.784128719999999930e+02
8.886801999999999424e+00 2.462124000000000024e+01 2.532836020000000019e+02 4.785479139999999916e+02
9.070211000000000467e+00 2.495042000000000115e+01 2.530046069999999929e+02 6.185744009999999662e+02
8.879136000000000806e+00 2.413478100000000026e+01 2.541580040000000054e+02 3.058149080000000026e+02
8.898414000000000712e+00 2.410302300000000031e+01 2.532642500000000041e+02 3.322880040000000008e+02
8.916510000000000602e+00 2.420342099999999874e+01 2.541231769999999983e+02 3.056609599999999887e+02
8.852710000000000079e+00 2.410591600000000057e+01 2.532801049999999918e+02 2.500354480000000024e+02
8.870964999999999989e+00 2.407385400000000075e+01 2.553212599999999952e+02 2.193249419999999930e+02
8.877622999999999820e+00 2.406022000000000105e+01 2.534020800000000122e+02 3.273436520000000201e+02
8.914616999999999791e+00 2.435087700000000055e+01 2.559835679999999911e+02 1.943612359999999910e+02
8.854843000000000686e+00 2.421536899999999903e+01 2.545176690000000121e+02 1.854485490000000141e+02
8.893601000000000312e+00 2.428674600000000083e+01 2.540562490000000082e+02 1.909007740000000126e+02
8.896392999999999773e+00 2.409425399999999939e+01 2.543930949999999882e+02 1.886506510000000105e+02
8.915120999999999185e+00 2.430218999999999951e+01 2.544863129999999956e+02 1.682247619999999984e+02
8.867976000000000525e+00 2.415361300000000000e+01 2.540056889999999896e+02 1.499700170000000128e+02
8.891885000000000261e+00 2.415974900000000147e+01 2.570352189999999837e+02 1.454355020000000138e+02
8.881349000000000160e+00 2.413091500000000167e+01 2.541269800000000032e+02 1.454139820000000043e+02
8.886713000000000306e+00 2.413864500000000035e+01 2.542891840000000059e+02 1.409438000000000102e+02
8.976857000000000752e+00 2.413141800000000003e+01 2.579623119999999972e+02 1.455220689999999877e+02
8.864395000000000024e+00 2.426158399999999915e+01 2.540438509999999894e+02 1.341577240000000018e+02
# Run ended: 2026-06-25 04:23:56.192929
# Elapsed time: 10:48:03.599969
